username,location,pr_count
755452800,,3
Ameyanagi,,2
Andrew-S-Rosen,"Princeton, NJ",67
AndySAnker,Copenhagen,1
AntObi,London,3
Bismarrck,"Beijing, China",5
CharlesCardot,,1
CifLord,,38
CompRhys,,23
DanielYang59,Berlin,175
ExpHP,,4
FCMeng,,1
GkAntonius,,1
HanmeiTang,Los Angeles,12
JRSuckert,"Erfurt, Germany",3
JSelf42,,1
JaGeo,"Berlin, Germany",77
Jaebeom-P,,1
JiQi535,,2
JonathanSchmidt1,Zurich,2
JosephMontoya-TRI,,1
JoshuaNgXY,,1
KazMorita,,1
KirbyBroderick,,1
Lattay,"Bochum, Germany",2
Liam-Deacon,United Kingdom,1
LindaHung-TRI,,1
LucasGVerga,,1
MichaelWolloch,Vienna,5
Na-Kawa,"Tokyo, Japan",1
OliMarc,,1
Qi-max,"Berkeley, CA",1
QuantumChemist,"Berlin, Germany",3
R1j1t,,1
Rastow,"Erlangen, Germany",1
RedStar-Iron,Pittsburgh,1
RoberTnf,,1
ScottNotFound,"Durham, NC",2
ShuaishuaiYuan,,3
SophiaRuan,,3
Tinaatucsd,San Francisco,8
VsevolodX,"Walnut Creek, CA",1
WardLT,"Atlanta, GA",13
YunxingZuo,,1
Zhuoying,"Berkeley, CA",5
ab5424,Aachen,16
abhardwaj73,,1
acrutt,"San Francisco Bay Area, California",3
adam-kerrigan,"York, UK",1
adengz,,18
adozier,"Cincinnati, OH",1
afonari,,2
ajjackson,United Kingdom,1
albalu,San Francisco Bay Area,16
alibh95,"Seoul, South Korea",1
amkrajewski,"Wilmington, DE, USA",2
anhhv,"201 E 24th St, Austin, TX 78712",2
ansobolev,"Berlin, Germany",5
ardunn,"Truckee, CA",4
arepstein,,3
as2362,"Tempe, AZ 85287",2
atulcthakur,"San Diego, CA",1
awvio,,1
aykol,,5
ayushsgupta,"Berkeley, California",3
bayesfactor,,1
benedictsaunders,Watford/Coventry,1
benjaminchen22,,1
benrich37,,16
bernstei,,1
bfield1,"Berkeley, California, USA",1
bjmorgan,"Bath, UK",7
blokhin,"Munich, Germany",1
