full_name,description,fork,created_at,updated_at,pushed_at,homepage,size,stargazers_count,language,has_issues,has_wiki,has_pages,forks_count,mirror_url,open_issues_count,default_branch,subscribers_count,uuid,source_name,license,private,contributions_count,has_readme,has_changelog,has_contributing,has_license,has_coc,has_threat_model,has_audit,status,last_synced_at,rank,host_type,host_domain,name,scm,fork_policy,github_id,pull_requests_enabled,logo_url,github_contributions_count,keywords,code_of_conduct_url,contribution_guidelines_url,funding_urls,security_policy_url
facebookresearch/fairchem,FAIR Chemistry's library of machine learning methods for chemistry ,False,2019-09-26T04:47:27.000Z,2025-08-26T19:06:38.056Z,2025-08-26T17:45:20.000Z,https://fair-chem.github.io/,48651.0,1684.0,Python,True,True,True,376,,35.0,main,37.0,211001860,,Other,False,50,README.md,,CONTRIBUTING.md,LICENSE.md,CODE_OF_CONDUCT.md,,,,2025-07-01T20:08:04.817Z,11,GitHub,,fairchem,git,,211001860,,,50,[],https://github.com/facebookresearch/fairchem/blob/main/CODE_OF_CONDUCT.md,https://github.com/facebookresearch/fairchem/blob/main/CONTRIBUTING.md,[],https://github.com/facebookresearch/fairchem/security/policy
microsoft/mattergen,Official implementation of MatterGen -- a generative model for inorganic materials design across the periodic table that can be fine-tuned to steer the generation towards a wide range of property constraints.,False,2025-07-23T11:26:53.972Z,2025-09-04T12:23:50.080Z,2025-08-15T07:42:36.000Z,https://www.nature.com/articles/s41586-025-08628-5,3368.0,1466.0,Python,True,False,False,257,,6.0,main,28.0,894988451,,MIT,False,9,README.md,,CONTRIBUTING.md,LICENSE,CODE_OF_CONDUCT.md,,,,2025-07-26T05:23:11.358Z,7,GitHub,,mattergen,git,,894988451,,,9,"['generative-ai', 'materials-design', 'materials-science']",https://github.com/microsoft/mattergen/blob/main/CODE_OF_CONDUCT.md,https://github.com/microsoft/mattergen/blob/main/CONTRIBUTING.md,[],https://github.com/microsoft/mattergen/security/policy
e3nn/e3nn,A modular framework for neural networks with Euclidean symmetry,False,2020-01-31T13:06:42.000Z,2025-09-04T00:34:05.468Z,2025-09-04T00:33:30.000Z,,11440.0,1143.0,Python,True,True,False,167,,30.0,main,19.0,237431920,,Other,False,32,README.md,,.github/CONTRIBUTING.md,LICENSE,.github/CODE_OF_CONDUCT.md,,,,2025-09-04T00:34:05.467Z,13,GitHub,,e3nn,git,,237431920,,,32,[],https://github.com/e3nn/e3nn/blob/main/.github/CODE_OF_CONDUCT.md,https://github.com/e3nn/e3nn/blob/main/.github/CONTRIBUTING.md,[],
aiidateam/aiida-core,The official repository for the AiiDA code,False,2016-12-23T15:38:21.000Z,2025-07-16T15:28:06.058Z,2025-07-16T15:08:50.000Z,https://aiida-core.readthedocs.io,133328.0,492.0,Python,True,True,True,227,,537.0,main,24.0,77234579,,Other,False,99,README.md,CHANGELOG.md,,LICENSE.txt,CODE_OF_CONDUCT.md,,,,2025-07-16T15:28:06.057Z,14,GitHub,,aiida-core,git,,77234579,,,99,"['aiida', 'computational-science', 'data-provenance', 'database', 'provenance', 'scheduler', 'ssh', 'workflow', 'workflow-engine', 'workflows']",https://github.com/aiidateam/aiida-core/blob/main/CODE_OF_CONDUCT.md,,[],
hackingmaterials/matminer,Data mining for materials science,False,2015-09-24T20:37:00.000Z,2024-10-06T12:47:22.868Z,2024-10-06T12:46:02.000Z,https://hackingmaterials.github.io/matminer/,43571.0,471.0,HTML,True,True,True,194,,31.0,main,29.0,43091756,,Other,False,50,README.md,CHANGES.txt,CONTRIBUTING.md,LICENSE,,,,,2024-10-06T12:47:22.867Z,13,GitHub,,matminer,git,,43091756,,,50,"['condensed-matter', 'data-mining', 'machine-learning', 'materials-science', 'matminer']",,https://github.com/hackingmaterials/matminer/blob/main/CONTRIBUTING.md,[],
microsoft/mattersim,"MatterSim: A deep learning atomistic model across elements, temperatures and pressures.",False,2024-12-03T19:57:03.146Z,2025-09-04T12:24:16.410Z,2025-07-06T06:22:00.000Z,https://microsoft.github.io/mattersim/,77093.0,450.0,Jupyter Notebook,True,True,True,58,,15.0,main,12.0,853204060,,MIT,False,16,README.md,,CONTRIBUTING.md,LICENSE.txt,CODE_OF_CONDUCT.md,,,,2025-07-06T06:07:24.621Z,8,GitHub,,mattersim,git,,853204060,,,16,"['ai4materials', 'ai4science', 'computational-materials-science', 'foundation-models', 'machine-learning', 'machine-learning-force-field', 'materials-science', 'mlff']",https://github.com/microsoft/mattersim/blob/main/CODE_OF_CONDUCT.md,https://github.com/microsoft/mattersim/blob/main/CONTRIBUTING.md,[],https://github.com/microsoft/mattersim/security/policy
SINGROUP/dscribe,DScribe is a python package for creating machine learning descriptors for atomistic systems.,False,2017-05-08T08:29:51.000Z,2025-02-01T07:16:52.419Z,2024-12-17T21:05:45.000Z,https://singroup.github.io/dscribe/,17809.0,409.0,C++,True,True,True,90,,7.0,master,18.0,90604423,,Apache-2.0,False,14,README.md,,,LICENSE,,,,,2024-05-28T18:23:05.190Z,12,GitHub,,dscribe,git,,90604423,,,14,"['atomistic-systems', 'descriptors', 'machine-learning', 'materials-science', 'python']",,,[],
materialsvirtuallab/maml,"Python for Materials Machine Learning, Materials Descriptors, Machine Learning Force Fields, Deep Learning, etc.",False,2020-01-25T15:04:21.000Z,2025-04-02T04:38:03.536Z,2025-04-02T04:35:13.000Z,,153462.0,404.0,Jupyter Notebook,True,True,True,84,,12.0,master,18.0,236185220,,BSD-3-Clause,False,21,README.md,CHANGES.md,,LICENSE,,,,,2025-04-02T04:38:03.535Z,8,GitHub,,maml,git,,236185220,,,21,"['deep-learning', 'machine-learning', 'machine-learning-force-field', 'materials-discovery', 'materials-science', 'spectroscopy']",https://github.com/materialsvirtuallab/.github/blob/main/.github/code_of_conduct.md,,[],
deepmodeling/dpgen,The deep potential generator to generate a deep-learning based model of interatomic potential energy and force field,False,2019-06-13T11:43:56.000Z,2025-08-07T07:43:03.745Z,2025-08-07T07:42:11.000Z,https://docs.deepmodeling.com/projects/dpgen/,8604.0,353.0,Python,True,True,False,184,,54.0,master,11.0,191752255,,LGPL-3.0,False,58,README.md,,,LICENSE,,,,,2025-08-07T07:43:03.744Z,9,GitHub,,dpgen,git,,191752255,,,58,"['active-learning', 'concurrent-learning', 'python']",,,[],
CederGroupHub/chgnet,Pretrained universal neural network potential for  charge-informed atomistic modeling https://chgnet.lbl.gov,False,2023-02-24T23:44:24.000Z,2025-08-19T00:18:19.802Z,2025-04-14T21:44:10.000Z,https://doi.org/10.1038/s42256-023-00716-3,13753.0,321.0,Python,True,False,True,85,,4.0,main,7.0,606244777,,Other,False,9,README.md,,,LICENSE,,,,,2024-09-16T22:23:17.906Z,11,GitHub,,chgnet,git,,606244777,,,9,"['atomistic-simulations', 'charge-distribution', 'charge-transport', 'computational-materials-science', 'force-fields', 'graph-neural-networks', 'machine-learning']",https://github.com/CederGroupHub/.github/blob/main/code_of_conduct.md,,[],
