full_name,repo_url
ai_assignments,https://github.com/S-n00b/ai_assignments
tinnet,https://github.com/hlxin/tinnet
q2D-Materials,https://github.com/westrangeloops/q2D-Materials
peak_detection,https://github.com/uw-cmg/peak_detection
supercell_maker,https://github.com/H6rst0n/supercell_maker
Catalysis,https://github.com/Sampa-USP/Catalysis
matagent,https://github.com/izumitkhr/matagent
CLODSH,https://github.com/GitXpresso/CLODSH
aiida-atoms,https://github.com/bonan-group/aiida-atoms
datasets,https://github.com/mesfind/datasets
abipy,https://github.com/GkAntonius/abipy
NeutronScatteringCoverageSimulation,https://github.com/EnjoyXu/NeutronScatteringCoverageSimulation
QD_Builder,https://github.com/nlesc-nano/QD_Builder
lieme,https://github.com/sreeharshab/lieme
CBRdb,https://github.com/ELIFE-ASU/CBRdb
SynCoTrain,https://github.com/sasanamari/SynCoTrain
Kimera_SWM-Codex,https://github.com/IdirBenSlama/Kimera_SWM-Codex
materials,https://github.com/IBM/materials
py4DSTEM,https://github.com/LBEM-CH/py4DSTEM
ocp,https://github.com/arturtoshev/ocp
Ensemble-FF-Fit,https://github.com/Q-CAD/Ensemble-FF-Fit
SOC,https://github.com/nlesc-nano/SOC
CrystalGF,https://github.com/chachapro/CrystalGF
mc-react-phonon-visualizer,https://github.com/materialscloud-org/mc-react-phonon-visualizer
OmniSAM,https://github.com/Ding-Zhong/OmniSAM
PaddleMaterials,https://github.com/PaddlePaddle/PaddleMaterials
FuzzyQD_2.0,https://github.com/nlesc-nano/FuzzyQD_2.0
TFC-PACT-Net,https://github.com/rahulkhorana/TFC-PACT-Net
chem-caption,https://github.com/lamalab-org/chem-caption
maggma,https://github.com/rkingsbury/maggma
NERxiv,https://github.com/JosePizarro3/NERxiv
jarvis_leaderboard,https://github.com/usnistgov/jarvis_leaderboard
goldilocks_kpoints,https://github.com/stfc/goldilocks_kpoints
pMuTT,https://github.com/VlachosGroup/pMuTT
xraylarch,https://github.com/maurov/xraylarch
stb-suite,https://github.com/bastoscmo/stb-suite
icsd_toolkit,https://github.com/esoteric-ephemera/icsd_toolkit
neb-dynamics,https://github.com/mtzgroup/neb-dynamics
mindscience,https://github.com/mindspore-ai/mindscience
graph-id-db,https://github.com/kmu/graph-id-db
HydraGNN,https://github.com/allaffa/HydraGNN
atomsplot,https://github.com/Enry99/atomsplot
web-conexs-app,https://github.com/DiamondLightSource/web-conexs-app
CRYSTALpytools,https://github.com/Spica-Vir/CRYSTALpytools
kim-tools,https://github.com/openkim/kim-tools
NEBula,https://github.com/badw/NEBula
PaddleScience,https://github.com/PaddlePaddle/PaddleScience
rare_earth_cluster_chatbot,https://github.com/unkowned-W/rare_earth_cluster_chatbot
DFT,https://github.com/ChenHongBo0420/DFT
Crystal-Structure-Predictions-Capstone,https://github.com/Leon1849/Crystal-Structure-Predictions-Capstone
BandStructureProj,https://github.com/WyattBunstine/BandStructureProj
chemeleon-dng,https://github.com/hspark1212/chemeleon-dng
GUI-point-defects,https://github.com/bracerino/GUI-point-defects
atomic-graph-partitioning,https://github.com/jaeheonshim/atomic-graph-partitioning
my_script,https://github.com/JLU-ICCMS-MaYuan/my_script
NanoZyme-Agent,https://github.com/yangmutian/NanoZyme-Agent
LLMatDesign-Spring-2025,https://github.com/gabash23/LLMatDesign-Spring-2025
PRDF-CP2K-LAMMPS,https://github.com/bracerino/PRDF-CP2K-LAMMPS
IOT_HUB,https://github.com/PRAISE-ADEYEYE/IOT_HUB
Matching-based-EXtrapolation,https://github.com/panmianzhi/Matching-based-EXtrapolation
CLAMM,https://github.com/ertekin-research-group/CLAMM
SMOACS,https://github.com/AkiraTOSEI/SMOACS
SkylineRAG,https://github.com/DAISYzxy/SkylineRAG
XRDReaderMk4,https://github.com/861360455/XRDReaderMk4
icet-sqs-gui,https://github.com/bracerino/icet-sqs-gui
Dr.XAS,https://github.com/XufanLU/Dr.XAS
plot_fatbands,https://github.com/rahmlab/plot_fatbands
Medical-Chatbot,https://github.com/Arijeet-10/Medical-Chatbot
SimulatedAnnealingLinkerMOF,https://github.com/HoferLab/SimulatedAnnealingLinkerMOF
AI-Enhanced-PDF,https://github.com/sq756/AI-Enhanced-PDF
pourbaix,https://github.com/cefj3002/pourbaix
arcs,https://github.com/equinor/arcs
HORM,https://github.com/deepprinciple/HORM
thermoelectrics,https://github.com/anilkunwar/thermoelectrics
POAT-main,https://github.com/xiaowangfeng/POAT-main
LithiumVision,https://github.com/roy823/LithiumVision
mlplib,https://github.com/nkitamuraQC/mlplib
fairchem,https://github.com/Somanhussain/fairchem
ElaTBot,https://github.com/Grenzlinie/ElaTBot
topo_diffusion,https://github.com/IMSS-Lab/topo_diffusion
CoRE-MOF-Tools,https://github.com/Chung-Research-Group/CoRE-MOF-Tools
confluence-to-gdrive,https://github.com/yoomlam/confluence-to-gdrive
materials-project-mcp,https://github.com/benedictdebrah/materials-project-mcp
MatTools,https://github.com/Grenzlinie/MatTools
actiongraph-testbench,https://github.com/8bitsam/actiongraph-testbench
lematerial-fetcher,https://github.com/LeMaterial/lematerial-fetcher
intergen,https://github.com/SiliconScientist/intergen
pydxd,https://github.com/hpmartins/pydxd
Struct2Flat,https://github.com/Xiangwen-Wang/Struct2Flat
PS-TEROS,https://github.com/DoriniTT/PS-TEROS
qc-configurational-analysis,https://github.com/NQCC-Official/qc-configurational-analysis
slab_creator,https://github.com/KazemZh/slab_creator
pyspectra,https://github.com/atomicarchitects/pyspectra
ai-material-property-prediction,https://github.com/metalsrini/ai-material-property-prediction
Materials-ML-Predictor,https://github.com/alpha4s/Materials-ML-Predictor
MatLLMSearch,https://github.com/JingruG/MatLLMSearch
Level_Up,https://github.com/wensley-rushing/Level_Up
xai_band_gap,https://github.com/masudataichi/xai_band_gap
Cluster_Finder,https://github.com/RajbanulAkhond/Cluster_Finder
494Project,https://github.com/jzatz2/494Project
Crystal-Structure-Prediction,https://github.com/8Fantom8/Crystal-Structure-Prediction
Applications,https://github.com/Gaia-Q-High-Performance-Computing/Applications
catomistic,https://github.com/cjowen1/catomistic
FFKL,https://github.com/tyvanzou/FFKL
AI-Powered-Solar-Optimization,https://github.com/PRAISE-ADEYEYE/AI-Powered-Solar-Optimization
crystal_prediction,https://github.com/zuiguo11/crystal_prediction
Novel_Ionizable_Lipid_Generation,https://github.com/aniruddhaiyengar/Novel_Ionizable_Lipid_Generation
GrooveMat,https://github.com/isaac-perez7053/GrooveMat
