full_name,repo_url,owner_repo,stars,forks
materials_discovery,https://github.com/google-deepmind/materials_discovery,google-deepmind/materials_discovery,1047,166
Uni-Mol,https://github.com/deepmodeling/Uni-Mol,deepmodeling/Uni-Mol,944,151
AIRS,https://github.com/divelab/AIRS,divelab/AIRS,688,79
mat2vec,https://github.com/materialsintelligence/mat2vec,materialsintelligence/mat2vec,630,184
megnet,https://github.com/materialsvirtuallab/megnet,materialsvirtuallab/megnet,539,157
mattersim,https://github.com/microsoft/mattersim,microsoft/mattersim,460,59
dscribe,https://github.com/SINGROUP/dscribe,SINGROUP/dscribe,444,94
matgl,https://github.com/materialsvirtuallab/matgl,materialsvirtuallab/matgl,422,87
PaddleScience,https://github.com/PaddlePaddle/PaddleScience,PaddlePaddle/PaddleScience,394,225
PyXtal,https://github.com/MaterSim/PyXtal,MaterSim/PyXtal,335,76
DeepH-pack,https://github.com/mzjb/DeepH-pack,mzjb/DeepH-pack,291,58
pymatviz,https://github.com/janosh/pymatviz,janosh/pymatviz,274,36
matgenb,https://github.com/materialsvirtuallab/matgenb,materialsvirtuallab/matgenb,261,155
all-atom-diffusion-transformer,https://github.com/facebookresearch/all-atom-diffusion-transformer,facebookresearch/all-atom-diffusion-transformer,254,28
materials,https://github.com/IBM/materials,IBM/materials,253,37
gptchem,https://github.com/kjappelbaum/gptchem,kjappelbaum/gptchem,251,43
quacc,https://github.com/Quantum-Accelerators/quacc,Quantum-Accelerators/quacc,226,61
doped,https://github.com/SMTG-Bham/doped,SMTG-Bham/doped,213,37
matbench-discovery,https://github.com/janosh/matbench-discovery,janosh/matbench-discovery,188,46
matsciml,https://github.com/IntelLabs/matsciml,IntelLabs/matsciml,180,30
MaterialsInformatics,https://github.com/sp8rks/MaterialsInformatics,sp8rks/MaterialsInformatics,170,45
automatminer,https://github.com/hackingmaterials/automatminer,hackingmaterials/automatminer,164,52
pyxem,https://github.com/pyxem/pyxem,pyxem/pyxem,162,88
api,https://github.com/materialsproject/api,materialsproject/api,145,49
XenonPy,https://github.com/yoshida-lab/XenonPy,yoshida-lab/XenonPy,143,59
streamlit-file-browser,https://github.com/pragmatic-streamlit/streamlit-file-browser,pragmatic-streamlit/streamlit-file-browser,140,25
psiflow,https://github.com/molmod/psiflow,molmod/psiflow,137,15
CrystaLLM,https://github.com/lantunes/CrystaLLM,lantunes/CrystaLLM,127,26
ORGANIC,https://github.com/aspuru-guzik-group/ORGANIC,aspuru-guzik-group/ORGANIC,126,65
MAST-ML,https://github.com/uw-cmg/MAST-ML,uw-cmg/MAST-ML,125,61
pymatgen-analysis-diffusion,https://github.com/materialsvirtuallab/pymatgen-analysis-diffusion,materialsvirtuallab/pymatgen-analysis-diffusion,125,56
