time,command_line,ext,symmetry,alchemy,core,io,transformations,analysis,optimization,apps,electronic_structure,phonon,vis,cli,entries
2011-10,1,0,0,0,3,11,1,2,0,0,0,0,0,0,0
2011-11,1,0,0,0,35,38,7,3,0,0,0,0,9,0,0
2011-12,1,0,0,0,4,2,3,10,0,0,0,0,0,0,0
2012-01,4,0,0,0,33,11,11,8,0,0,0,0,13,0,0
2012-02,3,0,0,0,12,9,4,14,0,0,0,0,0,0,0
2012-03,19,0,15,36,41,60,33,18,0,0,38,0,1,0,6
2012-04,2,0,8,24,29,46,22,3,0,1,33,0,0,0,6
2012-05,3,0,2,7,15,59,6,3,0,13,24,0,1,0,5
2012-06,0,0,1,0,7,13,2,12,0,10,4,0,1,0,6
2012-07,22,0,14,9,44,52,26,24,0,18,18,0,4,0,11
2012-08,2,0,5,2,9,38,5,7,0,3,1,0,0,0,5
2012-09,5,0,1,6,2,15,6,0,0,0,7,0,0,0,0
2012-10,0,0,3,7,1,9,0,10,0,0,2,0,0,0,1
2012-11,5,0,1,3,61,22,4,30,0,2,8,0,1,0,8
2012-12,3,0,2,1,16,14,10,52,0,3,9,0,0,0,7
2013-01,0,0,0,4,22,2,19,35,6,0,0,0,0,0,0
2013-02,3,0,4,8,23,38,5,14,2,6,3,0,2,0,5
2013-03,3,0,22,3,25,50,2,21,0,0,0,0,0,0,2
2013-04,7,0,8,1,21,99,1,24,2,0,3,0,1,0,0
2013-05,5,0,14,7,61,57,9,39,0,3,4,0,0,0,3
2013-06,3,0,0,9,11,56,4,19,0,0,0,0,0,0,0
2013-07,3,0,4,0,6,13,1,12,0,0,4,0,11,0,6
2013-08,13,0,5,3,43,51,1,38,0,5,19,0,1,0,1
2013-09,0,0,2,0,54,120,0,10,0,0,3,0,2,0,25
2013-10,1,0,0,1,6,61,0,7,0,0,1,0,0,0,0
2013-11,0,0,1,0,1,109,16,9,0,0,1,0,0,0,3
2013-12,10,0,0,0,6,69,1,4,0,0,1,0,0,0,6
2014-01,4,0,5,7,12,54,5,25,1,2,7,0,0,0,3
2014-02,4,0,2,1,22,117,2,61,0,0,2,0,1,0,3
2014-03,13,0,0,0,16,139,1,36,2,0,1,0,0,0,0
2014-04,1,0,2,0,1,170,0,8,1,0,1,0,0,0,0
2014-05,1,0,6,0,5,85,0,33,0,0,2,0,0,0,2
2014-06,4,0,0,0,11,280,3,20,0,0,1,0,0,0,1
2014-07,0,0,0,1,14,105,22,20,0,3,2,0,2,0,7
2014-08,1,0,1,2,43,149,2,23,1,3,8,0,3,0,2
2014-09,14,0,23,16,87,216,14,69,8,18,15,0,9,0,12
2014-10,1,0,6,1,128,144,2,31,0,5,5,0,0,0,1
2014-11,0,0,2,0,11,240,1,8,2,0,4,0,0,0,0
2014-12,1,0,0,0,15,39,3,3,0,0,0,0,0,0,0
2015-01,2,0,1,0,3,63,0,0,0,4,2,0,1,0,17
2015-02,0,0,0,1,7,71,0,0,0,0,0,0,0,0,0
2015-03,0,0,0,0,6,149,0,7,0,3,1,0,0,0,1
2015-04,0,0,1,0,12,41,0,8,8,1,2,0,0,0,0
2015-05,0,0,0,0,0,10,0,2,0,2,0,0,0,0,0
2015-06,0,0,5,2,7,29,0,15,0,0,0,0,0,0,0
2015-07,0,0,1,0,9,27,0,8,1,0,0,0,0,0,1
2015-08,3,0,9,5,12,35,4,8,2,3,12,0,2,0,8
2015-09,0,0,0,0,4,17,0,4,0,0,0,0,0,0,0
2015-10,0,0,0,2,8,65,2,4,0,1,7,0,0,0,1
2015-11,1,0,9,2,8,23,0,13,1,0,3,0,0,0,0
2015-12,0,0,1,0,22,25,2,22,0,2,2,0,0,0,5
2016-01,0,0,0,0,26,66,2,17,0,0,8,0,0,0,0
2016-02,0,0,2,0,13,13,0,10,0,0,1,0,0,0,0
2016-03,1,0,2,0,0,9,0,22,3,0,6,0,0,0,0
2016-04,3,0,10,1,40,61,3,81,1,5,9,0,3,0,2
2016-05,1,0,16,0,17,126,8,26,0,5,79,0,3,0,0
2016-06,0,0,3,2,18,98,0,29,0,1,3,0,0,0,3
2016-07,1,0,0,0,33,14,0,69,7,0,0,0,0,0,1
2016-08,1,0,11,1,8,8,17,14,0,0,3,0,0,4,0
2016-09,2,0,8,3,10,57,1,39,0,0,19,0,0,20,0
2016-10,0,0,1,0,11,29,2,9,1,0,4,0,6,1,0
2016-11,0,0,2,0,10,19,1,23,0,0,2,1,0,2,1
2016-12,4,0,0,2,6,27,2,21,0,1,17,0,0,1,1
2017-01,0,0,3,0,3,14,4,20,0,3,10,2,1,1,0
2017-02,1,0,5,1,14,19,1,91,1,2,30,2,1,2,2
2017-03,0,0,8,0,2,26,2,60,0,0,8,0,0,0,0
2017-04,6,0,3,3,11,61,4,26,0,2,15,2,1,3,0
2017-05,0,0,10,0,4,37,0,34,0,0,7,0,0,0,0
2017-06,1,22,3,2,10,49,0,11,0,2,5,0,0,1,0
2017-07,9,3,2,0,30,74,1,34,0,1,24,0,0,0,3
2017-08,13,0,21,1,37,76,4,50,0,1,10,1,2,0,1
2017-09,3,2,3,5,4,21,3,17,0,1,2,1,1,0,6
2017-10,3,1,0,0,4,13,1,11,0,0,2,0,0,0,1
2017-11,5,2,2,0,15,10,9,6,0,0,4,0,0,1,2
2017-12,3,4,4,1,15,28,1,50,0,5,17,1,0,0,2
2018-01,2,2,0,0,13,21,2,47,0,1,1,2,0,0,0
2018-02,0,2,0,0,17,53,1,42,0,0,2,0,0,0,0
2018-03,2,6,0,0,26,24,2,65,0,0,0,1,0,0,0
2018-04,0,6,1,0,15,45,2,104,0,0,16,1,0,0,0
2018-05,3,0,1,0,10,38,9,100,0,0,6,0,1,0,0
2018-06,0,4,0,0,8,44,4,117,0,2,2,0,0,1,2
2018-07,1,1,2,0,11,56,3,84,1,0,4,0,1,1,0
2018-08,3,4,0,0,19,45,0,93,0,0,25,0,0,0,0
2018-09,2,1,0,0,19,25,7,62,0,1,14,0,0,0,0
2018-10,2,3,1,0,11,25,0,24,0,3,2,0,0,0,0
2018-11,3,5,1,1,11,22,11,38,1,5,3,8,1,1,0
2018-12,4,6,3,7,16,24,7,27,2,3,7,1,1,2,6
2019-01,0,0,1,0,22,22,0,51,0,0,8,0,0,0,3
2019-02,0,1,1,0,14,9,1,27,0,0,4,0,0,0,8
2019-03,3,8,5,2,46,32,3,37,0,5,2,0,2,2,1
2019-04,3,1,2,2,6,38,0,35,0,2,9,1,1,0,1
2019-05,1,2,2,0,10,21,0,15,0,0,11,0,0,0,0
2019-06,5,8,2,0,31,55,3,61,0,1,0,0,0,0,0
2019-07,11,3,0,1,24,25,15,28,0,0,0,0,0,1,0
2019-08,8,7,6,1,16,34,13,45,1,3,12,2,2,1,17
2019-09,9,6,9,3,60,40,10,60,2,1,10,7,0,3,29
2019-10,6,9,3,2,22,51,1,33,3,1,3,3,1,2,42
2019-11,6,7,3,0,1,40,1,32,0,0,5,1,0,0,17
2019-12,0,0,11,0,12,40,0,32,0,0,2,1,0,0,5
2020-01,0,0,1,0,3,29,0,41,0,0,4,0,2,0,1
2020-02,6,0,0,0,0,45,7,25,1,0,0,7,1,0,5
2020-03,21,4,16,3,4,52,2,40,1,2,1,1,2,1,18
2020-04,18,7,5,0,9,24,12,27,1,0,2,1,0,0,62
2020-05,0,0,1,0,5,11,0,5,0,0,0,1,0,0,8
2020-06,0,2,0,0,5,45,0,14,0,0,20,4,0,0,9
2020-07,8,4,6,2,13,29,1,42,1,1,12,0,1,1,24
2020-08,2,0,2,0,12,37,1,20,0,1,0,0,0,0,32
2020-09,3,12,0,1,4,16,1,32,0,1,9,0,1,0,11
2020-10,1,5,0,0,1,37,0,19,1,1,4,0,0,0,6
2020-11,0,0,0,0,12,25,0,8,0,0,0,2,0,0,0
2020-12,3,3,5,2,7,19,3,25,2,23,3,3,2,3,14
2021-01,12,8,14,4,13,58,9,41,3,7,11,7,6,2,21
2021-02,9,13,4,0,39,60,2,57,0,0,9,0,0,0,10
2021-03,3,6,3,3,25,8,2,14,0,5,2,0,1,3,8
2021-04,4,5,2,1,15,16,3,21,0,1,6,0,0,1,12
2021-05,2,9,6,0,17,29,2,33,0,0,2,1,0,0,8
2021-06,0,2,0,0,5,53,1,16,0,0,0,8,0,0,18
2021-07,2,1,1,0,4,23,1,21,0,1,3,22,1,1,2
2021-08,3,0,0,2,7,27,2,19,1,2,10,0,0,0,4
2021-09,0,21,1,0,13,27,0,15,0,2,1,0,0,0,2
2021-10,3,4,5,1,21,36,2,23,5,8,3,1,2,2,37
2021-11,3,6,1,1,12,68,2,6,1,7,4,1,1,3,3
2021-12,3,1,0,0,1,29,2,0,0,1,6,1,0,0,5
2022-01,32,8,7,3,45,90,8,34,2,6,9,6,2,6,13
2022-02,8,11,9,5,40,52,7,33,2,4,9,5,4,4,7
2022-03,2,5,13,1,61,51,5,36,0,7,47,2,2,3,10
