login,location,country,pr_count
Andrew-S-Rosen,"Princeton, NJ",United States,67
AndySAnker,Copenhagen,Denmark,1
AntObi,London,United Kingdom,3
Bismarrck,"Beijing, China",China,5
DanielYang59,Berlin,Germany,175
HanmeiTang,Los Angeles,United States,12
JRSuckert,"Erfurt, Germany",Germany,3
JaGeo,"Berlin, Germany",Germany,77
JonathanSchmidt1,Zurich,Switzerland,2
Lattay,"Bochum, Germany",Germany,2
Liam-Deacon,United Kingdom,United Kingdom,1
MichaelWolloch,Vienna,Austria,5
Na-Kawa,"Tokyo, Japan",Japan,1
Qi-max,"Berkeley, CA",United States,1
QuantumChemist,"Berlin, Germany",Germany,3
Rastow,"Erlangen, Germany",Germany,1
RedStar-Iron,Pittsburgh,United States,1
ScottNotFound,"Durham, NC",United States,2
Tinaatucsd,San Francisco,United States,8
VsevolodX,"Walnut Creek, CA",United States,1
WardLT,"Atlanta, GA",United States,13
Zhuoying,"Berkeley, CA",United States,5
ab5424,Aachen,Germany,16
acrutt,"San Francisco Bay Area, California",United States,3
adam-kerrigan,"York, UK",United Kingdom,1
adozier,"Cincinnati, OH",United States,1
ajjackson,United Kingdom,United Kingdom,1
albalu,San Francisco Bay Area,United States,16
alibh95,"Seoul, South Korea",South Korea,1
amkrajewski,"Wilmington, DE, USA",United States,2
anhhv,"201 E 24th St, Austin, TX 78712",United States,2
ansobolev,"Berlin, Germany",Germany,5
ardunn,"Truckee, CA",United States,4
as2362,"Tempe, AZ 85287",United States,2
atulcthakur,"San Diego, CA",United States,1
ayushsgupta,"Berkeley, California",United States,3
bfield1,"Berkeley, California, USA",United States,1
bjmorgan,"Bath, UK",United Kingdom,7
blokhin,"Munich, Germany",Germany,1
blondegeek,"Cambridge, MA",United States,10
bocklund,"Livermore, CA",United States,3
chc273,"Redmond, WA",United States,15
chiang-yuan,Berkeley,United States,4
computron,"Berkeley, CA",United States,31
danielzuegner,"Berlin, Germany",Germany,2
dgaines2,"Chicago, IL",United States,3
dkorotin,"Yekaterinburg, Russia",Russia,1
dskoda,"Los Angeles, CA",United States,1
dwinston,"The Bronx, NY",United States,22
dyllamt,"Oakland, CA, USA",United States,3
dynikon,"Hyogo, Japan",Japan,1
e-kwsm,Japan,Japan,2
espottesmith,"Pittsburgh, PA, USA",United States,15
ezpzbz,"Oxford, England",United Kingdom,1
fekad,Namur,Belgium,1
flaviu-gostin,"Copenhagen, Denmark",Denmark,3
fraricci,Berkeley,United States,25
frssp,"Suwon, S. Korea",South Korea,1
ftherrien,Montreal,Canada,1
gbrunin,Belgium,Belgium,3
henriquemiranda,"Vienna, Austria",Austria,4
janosh,GitHub,United States,421
janssenhenning,Aachen,Germany,2
jinlhr542,Tokyo,Japan,2
jmmshn,San Francisco,United States,53
josuav1,"Munich, Germany",Germany,2
jsukpark,"Austin, TX",United States,4
kaifengZheng,Stony Brook,United States,2
kaueltzen,"Berlin, Germany",Germany,6
kavanase,"Cambridge, MA",United States,28
kmu,Tokyo,Japan,10
knc6,"Baltimore,MD,USA",United States,3
kylebystrom,"Cambridge, MA",United States,2
lan496,"Tokyo, Japan",Japan,10
ldamewood,California,United States,1
lhycms,Beijing,China,2
liwt31,Shenzhen,China,1
ltalirz,"Mainz, Germany",Germany,3
mamachra,"San Diego, CA",United States,2
marcoesters,"Emeryville, CA",United States,7
matk86,Berkeley,United States,56
matthewcarbone,"New York, NY ",United States,1
mattmcdermott,"Houston, TX",United States,14
mcgalcode,"Berkeley, CA",United States,2
mcocdawc,"Cambridge, USA",United States,2
mhsiron,"Berkeley, CA",United States,1
miaoliu,Beijing,China,2
migueldiascosta,Singapore,Singapore,2
mjwen,"Houston, TX",United States,3
mkhorton,Washington,United States,75
mturiansky,"Washington, DC",United States,13
mueslo,"Dresden, Germany",Germany,1
munrojm,"Boston, MA",United States,8
naik-aakash,Berlin,Germany,24
nawagner,"Chandler, AZ",United States,4
ncfrey,"Manhattan, NY",United States,2
nisse3000,Hamburg,Germany,48
njzjz,"Nanjing, China",China,6
penicillin0,Tokyo,Japan,1
qianchenqc,"Berkeley, CA",United States,1
rambalachandran,Down Under,Netherlands,1
resnant,"Tokyo, Japan",Japan,3
rkingsbury,"Princeton, NJ",United States,68
rkurchin,"Pittsburgh, PA",United States,1
rohithsrinivaas,"Berkeley, California, United States",United States,1
saurabh02,"Berkeley, CA",United States,6
shaunrong,"California, USA",United States,1
shyuep,"La Jolla, CA",United States,20
sio-salt,Japan/yamagata,Japan,1
stefsmeets,"Utrecht, NL",Netherlands,10
sthartman,Los Alamos NM,United States,2
tallakahath,"New York City, New York",United States,1
tamuhey,Tokyo,Japan,3
timurbazhirov,"San Francisco, CA, USA",United States,1
tom-wood,"Oxfordshire, UK",United Kingdom,2
tonnamb,"Dallas, TX",United States,1
tpurcell90,"Tucson, AZ",United States,13
tschaume,Berkeley,United States,11
uliaschauer,Switzerland,Switzerland,1
utf,London,United Kingdom,43
uthpalaherath,"Durham, NC",United States,1
utopianf,日本,Japan,2
vorwerkc,"Chicago, USA",United States,4
wardsimon,Copenhagen,Denmark,1
wolearyc,Los Angeles ,United States,2
wsyxbcl,"Qingdao, China",China,1
wuxiaohua1011,Berkeley,United States,1
yanghan234,Shanghai ,China,2
yihanxiao92,"Berkeley, CA",United States,11
yimingchen-eng,San Diego,United States,5
yuuukuma,Tohoku,Japan,4
yuzie007,Stuttgart,Germany,1
zacharygibbs,USA,United States,1
zbwang,"Kowloon, Hong Kong",China,5
